Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att
"Camden Hayslip, UA",0,7-2,11,0,0,0,0,0,1,0,0,2,0,6,0,0.154,0,0,0-0
"Rj Jimerson, MO",0.2,5-2,10,2,2,0,0,0,2,2,0.2,0,2,3,0,0.333,0,0,0-0
"Zeb Ruddell, LS",0.2,15-0,10,8,2,1,0,1,4,6,0.6,3,1,3,0,0.429,0,0,0-0
"Ross Highfill, MS",0.1,4-3,10,1,1,0,0,0,2,1,0.1,1,1,4,0,0.214,2,0,0-0
"Steven Spalitta, MS",0.1,8-3,10,0,1,0,0,0,0,1,0.1,1,1,3,0,0.25,0,0,0-0
"Evan Stone, SC",0.375,15-0,8,2,3,1,0,0,1,4,0.5,3,1,3,0,0.583,0,1,0-0
"Justin Vossos, AM",0.25,7-1,8,3,2,0,0,0,0,2,0.25,1,0,3,0,0.333,0,0,0-0
"Camden Bates, UT",0.25,10-0,8,3,2,0,0,1,4,5,0.625,3,0,3,0,0.417,1,0,0-0
"Michael O'Brien, MS",0.125,24-2,8,5,1,0,0,0,1,1,0.125,5,0,1,0,0.462,0,0,1-1
"Carson Hornung, SC",0.125,7-0,8,1,1,1,0,0,1,2,0.25,2,0,4,1,0.3,0,0,0-0
"Alex Perry, UT",0.286,7-1,7,2,2,0,0,0,3,2,0.286,3,0,2,0,0.5,0,0,1-1
"Seth Farni, UM",0.143,7-0,7,0,1,0,1,0,0,3,0.429,0,0,3,0,0.143,0,0,0-0
"John Kramer, UM",0,8-1,7,0,0,0,0,0,1,0,0,1,0,5,0,0.125,0,0,0-0
"Blake Brookins, UF",0,7-0,6,0,0,0,0,0,0,0,0,1,0,2,0,0.143,0,0,0-0
"Luke Vaughn, UA",0,8-2,5,1,0,0,0,0,0,0,0,2,1,4,0,0.375,0,1,0-0
"Gavin Guidry, LS",0.5,1-0,2,1,1,1,0,0,0,2,1,0,0,0,0,0.5,0,0,0-0
"Parker Picot, UA",0.5,3-0,2,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0,0-0
"Ty Mauldin, AU",0.5,3-0,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0-0
"Tyler Zedalis, SC",0,3-0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
"Brayden Sharp, UT",0,2-0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
"Raymond Velazquez, VU",1,3-0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0-0
"Brian Zeldin, UG",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
"Connor Chisolm, UM",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-0
"Khal Stephen, MS",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
"Luke Dotson, MS",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
"Josh Roberge, UG",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
"David Cromer, SC",0,4-0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.5,1,0,0-0
"Sam Robertson, AU",0,6-0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3-3
