Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk
"Jacob Gomberg, UF",18,0-0,1-0,0,0/0,0,1,0,2,2,3,2,0,0,0,3,0,1,0,0
"Konner Copeland, AU",18,0-0,1-0,0,0/0,0,1,2,2,2,2,3,1,0,0,5,0.4,0,0,0
"Carson Applegate, UK",27,0-0,2-0,0,0/0,0,1,2,3,3,1,1,1,0,0,5,0.4,0,1,0
"Jaden Noot, LS",27,0-0,1-0,0,0/0,0,1,1,3,3,2,0,0,0,1,2,0.5,0,0,0
"Kk Clark, MS",36,0-0,2-0,0,0/0,0,1,4,4,4,0,2,0,0,1,8,0.5,0,1,0
"Evan Hart, UK",0,0-0,2-0,0,0/1,0,0.2,1,0,0,1,1,0,0,0,3,0.333,0,2,0
"Troy Wansing, AM",13.5,0-0,1-0,0,0/0,0,0.2,1,1,1,0,0,0,0,0,2,0.5,0,1,0
"Hunter Jones, UF",54,0-0,2-0,0,0/0,0,0.2,3,4,4,1,0,2,0,0,5,0.6,0,1,0
"Ariston Veasey, UA",0,0-0,1-0,0,0/0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0
"Max Miller, MS",0,0-0,1-0,0,0/0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0
"Jevarra Martin, SC",99,0-0,1-0,0,0/0,0,0,0,2,2,1,0,0,0,0,0,,0,1,0
"Miles Garrett, MO",99,0-0,1-0,0,0/0,0,0,0,4,4,4,0,0,0,0,0,,1,0,0
